OrderID,OrderLine,SalesID,CusID,ProductID,Type,QTY,Price,TotalLine,DateCreate,OrderDate
HD028,30,MX020,KH001,MXSP01,ONLINE,1,55,55,5/10/2022,5/6/2022
HD029,30,MX020,KH001,MXSP02,ONLINE,2,50,100,5/10/2022,5/6/2022
HD030,30,MX020,KH001,MXSP03,ONLINE,3,100,300,5/10/2022,5/6/2022
HD031,30,MX023,KH004,MXSP04,OFFLINE,1,280,280,5/10/2022,5/6/2022
HD032,30,MX024,KH005,MXSP05,OFFLINE,1,180,180,5/10/2022,5/6/2022
HD033,30,MX025,KH006,MXSP06,OFFLINE,4,60,240,5/10/2022,5/6/2022
HD034,30,MX023,KH006,MXSP07,OFFLINE,1,40,40,5/10/2022,5/6/2022
HD035,30,MX023,KH006,MXSP08,OFFLINE,1,62,62,5/10/2022,5/6/2022
HD036,30,MX023,KH006,MXSP09,OFFLINE,5,30,150,5/10/2022,5/6/2022
HD037,30,MX023,KH006,MXSP10,OFFLINE,2,60,120,5/10/2022,5/6/2022
HD038,30,MX026,KH006,MXSP11,ONLINE,2,80,160,5/10/2022,5/6/2022
HD039,30,MX026,KH006,MXSP12,ONLINE,2,35,70,5/10/2022,5/6/2022
HD040,30,MX020,KH006,MXSP13,ONLINE,3,30,90,5/10/2022,5/6/2022
HD041,30,MX026,KH014,MXSP14,ONLINE,2,40,80,5/10/2022,5/6/2022
HD042,30,MX021,KH015,MXSP15,ONLINE,2,25,50,5/10/2022,5/6/2022
HD043,30,MX026,KH022,MXSP16,ONLINE,2,42,84,5/10/2022,5/6/2022
HD044,30,MX023,KH015,MXSP17,ONLINE,2,80,160,5/10/2022,5/6/2022
HD045,30,MX022,KH015,MXSP18,ONLINE,2,32,64,5/10/2022,5/6/2022
HD046,30,MX026,KH015,MXSP19,ONLINE,2,60,120,5/10/2022,5/6/2022
HD047,30,MX026,KH015,MXSP20,ONLINE,2,30,60,5/10/2022,5/6/2022
HD048,30,MX026,KH021,MXSP21,ONLINE,1,59,59,5/10/2022,5/6/2022
HD049,30,MX026,KH022,MXSP18,ONLINE,2,32,64,5/10/2022,5/6/2022
HD050,30,MX026,KH023,MXSP19,ONLINE,2,60,120,5/10/2022,5/6/2022
HD051,30,MX020,KH024,MXSP20,OFFLINE,2,30,60,5/10/2022,5/6/2022
HD052,30,MX020,KH015,MXSP21,OFFLINE,5,59,295,5/10/2022,5/6/2022
HD053,30,MX020,KH026,MXSP21,OFFLINE,3,59,177,5/10/2022,5/6/2022
HD054,30,MX022,KH027,MXSP21,OFFLINE,2,59,118,5/10/2022,5/6/2022
HD055,30,MX020,KH006,MXSP21,OFFLINE,1,59,59,5/10/2022,5/6/2022
HD056,30,MX020,KH029,MXSP21,OFFLINE,1,59,59,5/10/2022,5/6/2022
